ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu
15:00:54,5.11,0,0,0,0,5,433,24
15:01:00,5.12,0,0,0,0,4,360,14
15:01:06,4.97,0,0,0,0,6,537,36
15:01:13,4.98,0,0,0,0,6,528,20
15:01:19,5.02,0,0,0,0,6,527,20
15:01:25,4.99,0,0,0,0,6,548,29
15:01:31,4.93,0,0,0,0,7,627,24
15:01:37,4.9,0,0,0,0,6,601,28
15:01:43,4.91,0,0,0,0,7,679,34
15:01:50,4.93,0,0,0,0,6,602,30
15:01:56,4.98,0,0,0,0,6,557,29
15:02:02,4.65,1,350,0,0,6,589,35
15:02:08,4.94,0,0,0,0,6,610,27
15:02:14,4.95,0,0,0,0,6,611,18
15:02:21,5.05,0,0,0,0,6,504,23
15:02:27,4.53,1,409,0,0,7,684,23
15:02:33,4.84,0,0,0,0,7,771,18
15:02:39,5.06,0,0,0,0,5,477,21
15:02:45,5.04,0,0,0,0,6,544,24
15:02:51,5.07,0,0,0,0,5,471,34
15:02:57,5.06,0,0,0,0,5,473,32
15:03:04,5.09,0,0,0,0,5,477,26
15:03:10,4.92,1,3,0,0,5,669,29
15:03:16,4.9,0,0,0,0,5,674,39
15:03:22,4.83,0,0,0,0,6,830,24
15:03:28,4.77,0,0,0,0,7,917,22
15:03:34,4.76,0,0,0,0,7,926,23
15:03:41,4.76,0,0,0,0,7,928,37
15:03:47,4.77,0,0,0,0,7,912,35
15:03:53,4.76,0,0,0,0,7,912,23
15:03:59,4.76,0,0,0,0,7,914,23
15:04:05,4.77,0,0,0,0,7,914,21
15:04:12,4.76,0,0,0,0,7,910,21
15:04:18,4.75,0,0,0,0,7,933,21
15:04:24,4.75,0,0,0,0,7,932,28
15:04:30,4.73,0,0,0,0,7,932,34
15:04:36,4.75,0,0,0,0,7,932,17
15:04:42,4.89,0,0,0,0,6,751,23
15:04:48,4.88,0,0,0,0,6,751,18
15:04:55,4.87,0,0,0,0,6,751,23
15:05:01,5.01,0,0,0,0,6,602,24
15:05:07,4.62,1,259,0,0,6,732,20
15:05:13,4.77,0,0,0,0,7,879,35
15:05:19,4.37,1,409,0,0,7,889,34
15:05:25,4.75,0,0,0,0,7,909,33
15:05:32,4.82,0,0,0,0,7,798,38
15:05:38,4.47,0,0,0,0,14,1351,63
15:05:44,4.58,0,0,0,0,15,1317,68
15:05:50,4.12,3,287,0,0,12,1518,29
15:05:57,4.68,0,0,0,0,8,1034,59
15:06:03,4.7,0,0,0,0,8,1004,45
15:06:09,4.81,0,0,0,0,7,832,54
15:06:15,4.27,8,77,0,0,15,1688,69
15:06:21,4.33,3,42,0,0,14,1474,71
15:06:28,4.52,1,11,0,0,15,1418,68
15:06:34,4.32,3,29,0,0,15,1591,69
15:06:40,4.58,0,0,0,0,15,1262,71
15:06:46,4.31,3,15,0,0,14,1569,50
15:06:53,4.79,2,16,0,0,7,870,13
15:06:59,4.78,0,0,0,0,7,867,45
15:07:05,4.36,0,0,0,0,11,1457,31
15:07:11,4.36,0,0,0,0,11,1446,41
15:07:17,4.35,0,0,0,0,11,1463,33
15:07:24,4.42,0,0,0,0,11,1453,30
15:07:30,4.44,0,0,0,0,11,1442,32
15:07:36,4.43,0,0,0,0,11,1451,23
15:07:42,4.44,0,0,0,0,11,1444,32
15:07:48,4.43,0,0,0,0,11,1447,25
15:07:54,2.96,4,1531,0,0,11,1441,35
15:08:01,2.15,4,2367,0,0,11,1441,37
15:08:07,1.54,4,3027,0,0,11,1441,28
15:08:13,1.32,4,3249,0,0,11,1441,42
15:08:19,1.24,4,3338,0,0,11,1441,37
15:08:25,1.21,4,3372,0,0,11,1441,30
15:08:32,1.21,4,3375,0,0,11,1441,25
15:08:38,1.21,4,3376,0,0,11,1441,33
15:08:44,1.2,4,3377,0,0,11,1441,28
15:08:50,1.18,4,3398,0,0,11,1441,38
15:08:56,1.18,4,3400,0,0,11,1441,27
15:09:02,1.18,4,3405,0,0,11,1441,36
15:09:09,1.15,4,3409,0,0,11,1441,36
15:09:15,1.11,4,3465,0,0,11,1441,32
15:09:21,0.97,4,3600,0,0,11,1441,40
15:09:27,0.93,4,3669,0,0,11,1441,28
15:09:33,0.91,4,3684,0,0,11,1441,37
15:09:40,0.9,4,3696,0,0,11,1442,31
15:09:46,0.89,4,3714,0,0,11,1442,50
15:09:52,0.86,4,3722,0,0,11,1441,41
15:09:58,0.85,4,3742,0,0,11,1441,38
15:10:05,0.84,4,3754,0,0,11,1442,37
15:10:11,0.83,4,3771,0,0,11,1442,41
15:10:17,0.81,4,3787,0,0,11,1442,18
15:10:23,1.67,3,2870,0,0,11,1488,31
15:10:29,2.42,2,1973,0,0,11,1587,44
15:10:36,2.56,2,1983,0,0,10,1378,24
15:10:42,4.53,0,0,0,0,9,1270,27
15:10:48,4.5,0,0,0,0,9,1327,24
15:10:54,4.78,0,0,0,0,7,869,28
15:11:00,3.99,7,298,0,0,15,1786,69
15:11:07,4.23,1,72,0,0,15,1751,67
15:11:13,3.9,3,439,0,0,15,1745,63
15:11:19,3.78,3,473,0,0,14,1780,66
15:11:25,3.85,5,491,0,0,15,1775,60
15:11:32,3.51,5,702,0,0,15,1901,68
15:11:38,1.59,8,2632,0,0,15,2006,64
15:11:44,3.28,3,906,0,0,15,1987,82
15:11:50,1.77,7,2429,0,0,15,2017,65
15:11:57,3.17,3,1131,0,0,15,1880,65
15:12:03,2.44,7,1843,0,0,15,1954,68
15:12:09,2.72,4,1520,0,0,14,1834,80
15:12:15,2.84,7,1244,0,0,15,2011,68
15:12:22,2.05,6,2272,0,0,15,1889,65
15:12:28,2.55,7,1701,0,0,15,1989,55
15:12:34,1.29,8,2965,0,0,15,2015,62
15:12:40,3.6,3,805,0,0,15,1783,77
15:12:47,4.33,0,0,0,0,15,1721,71
15:12:53,4.56,2,33,0,0,15,1449,73
15:12:59,4.37,1,93,0,0,15,1635,74
15:13:05,3.43,6,920,0,0,15,1815,63
15:13:12,3.85,4,592,0,0,15,1716,62
15:13:18,4.42,1,2,0,0,15,1561,58
15:13:24,4.34,3,47,0,0,15,1745,76
15:13:30,4.28,2,95,0,0,15,1710,73
15:13:37,4.56,0,0,0,0,15,1463,56
15:13:43,3.98,6,171,0,0,15,1871,71
15:13:49,3.96,6,312,0,0,17,1951,79
15:13:55,4.29,1,70,0,0,15,1702,71
15:14:02,4.28,4,57,0,0,14,1705,62
15:14:08,4.37,4,74,0,0,15,1674,60
15:14:14,4.16,8,178,0,0,15,1801,79
15:14:20,4.49,1,36,0,0,14,1519,67
15:14:27,4.5,0,0,0,0,14,1529,62
15:14:33,4.52,1,7,0,0,14,1429,74
15:14:39,3.59,7,517,0,0,16,2110,70
15:14:45,1.66,7,2531,0,0,16,2044,59
15:14:52,4.17,3,177,0,0,16,1823,67
15:14:58,4.21,3,176,0,0,16,1728,84
15:15:04,4.37,2,36,0,0,15,1687,65
15:15:11,4.37,4,28,0,0,14,1665,69
15:15:17,4.5,1,43,0,0,14,1411,71
15:15:23,4.49,2,22,0,0,13,1459,60
15:15:29,4.6,0,0,0,0,14,1310,64
15:15:36,4.33,3,110,0,0,14,1559,73
15:15:42,4.33,5,68,0,0,14,1649,69
15:15:48,4.43,1,3,0,0,15,1671,68
15:15:54,4.5,0,0,0,0,14,1535,74
15:16:01,4.59,0,0,0,0,14,1412,73
15:16:07,4.63,0,0,0,0,16,1384,74
15:16:13,4.27,6,91,0,0,16,1756,80
15:16:19,4.39,3,30,0,0,16,1730,57
15:16:26,4.28,1,21,0,0,16,1820,68
15:16:32,4.15,4,205,0,0,16,1786,71
15:16:38,3.67,4,688,0,0,16,1813,66
15:16:44,4.43,2,22,0,0,15,1601,62
15:16:51,4.3,2,94,0,0,15,1650,85
15:16:57,4.38,2,92,0,0,14,1521,62
15:17:03,4.42,0,0,0,0,15,1363,87
15:17:10,4.31,1,11,0,0,16,1818,68
15:17:16,4.27,6,58,0,0,16,1608,63
15:17:22,4.3,4,59,0,0,16,1782,57
15:17:28,4.26,1,309,0,0,16,1454,67
15:17:35,3.51,4,760,0,0,16,1869,65
15:17:41,4.45,2,9,0,0,14,1571,71
15:17:47,4.45,1,30,0,0,14,1534,56
15:17:54,4.35,1,10,0,0,15,1710,74
15:18:00,4.38,1,111,0,0,14,1515,66
15:18:06,4.39,4,42,0,0,14,1552,66
15:18:12,4.31,4,65,0,0,14,1684,62
15:18:18,4.8,0,0,0,0,6,850,11
15:18:25,4.44,3,7,0,0,8,994,60
15:18:31,2.93,15,1717,0,0,6,902,48
15:18:37,2.91,15,2012,0,0,6,726,56
15:18:43,4.83,15,102,0,0,6,725,40
15:18:49,3.6,16,1374,0,0,6,723,70
15:18:56,3.78,15,1178,0,0,6,723,53
15:19:02,4.85,11,68,0,0,6,723,37
15:19:08,4.77,10,65,0,0,6,724,38
15:19:14,4.89,3,19,0,0,6,724,21
